,Quality Class,Corners,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,4000,4200,4400,4600,5000
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,5,0,6,0,7,500,10,0,12,500,15,0,17,500,20,0,25,0,30,0,40,0,,,,
205,,,283.24,270.7,260.76,252.61,245.79,239.95,234.88,226.5,219.59,214.09,205.31,,,,,,,,,,,,,,,
206,,,228.59,218.54,210.58,203.97,198.37,193.69,189.57,182.85,177.32,172.78,165.81,,,,,,,,,,,,,,,
207,,,183.34,175.28,168.85,163.62,159.09,155.41,152.09,146.62,142.22,138.63,132.96,,,,,,,,,,,,,,,
208,,,136.52,130.49,125.7,121.86,118.56,115.7,113.21,109.19,105.88,103.21,98.95,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,5,0,6,0,7,500,10,0,12,500,15,0,17,500,20,0,25,0,30,0,40,0,,,,
211,,,68.92,66.14,64.03,62.28,60.64,59.39,58.36,56.38,54.9,53.64,51.6,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,5,0,6,0,7,500,10,0,12,500,15,0,17,500,20,0,25,0,30,0,40,0,,,,
214,,,1.63,1.48,1.46,1.42,1.41,1.37,1.36,1.25,1.23,1.23,1.21,,,,,,,,,,,,,,,
215,,,1.48,1.46,1.41,1.37,1.36,1.25,1.25,1.23,1.21,1.2,1.16,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,5,0,6,0,7,500,10,0,12,500,15,0,17,500,20,0,25,0,30,0,40,0,,,,
220,,,332.44,317.76,306.05,296.57,288.51,281.62,275.7,265.86,257.79,251.27,240.99,,,,,,,,,,,,,,,
221,,,298.14,284.97,274.52,265.95,258.69,252.51,247.25,238.32,231.22,225.42,216.08,,,,,,,,,,,,,,,
222,,,268.33,256.52,247.18,239.46,232.9,227.34,222.55,214.62,208.19,202.81,194.61,,,,,,,,,,,,,,,
223,SemiLuxury-BestStd,,240.02,229.47,220.95,213.99,208.3,203.33,199.03,191.88,186.19,181.44,174.02,,,,,,,,,,,,,,,
224,,,215.24,205.72,198.22,192.08,186.76,182.41,178.53,172.08,166.96,162.7,156.05,,,,,,,,,,,,,,,
225,Best Std-GoodStd,,160.27,153.18,147.56,143.04,139.12,135.8,132.88,128.14,124.27,121.18,116.18,,,,,,,,,,,,,,,
226,,,187.84,179.58,172.99,167.6,163.01,159.22,155.84,150.21,145.67,142.05,136.21,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,1.82,1.41,1.27,1.2,1.15,1.09,1.01,0.99,0.97,0.97,0.97,,,,,,,,,,,,,,,
